,created_at,text
4,Wed Aug 31 23:59:53 +0000 2022,RT @iamdio__: E foram gastar 75M no Darwin ahah
70,Wed Aug 31 23:59:55 +0000 2022,RT @rogeria_chagas: @BetoAraujooo @carlosgiannazi #RodrigoGarciaInjusto PDL 22 URGENTEMENTE BASTA DESSE CRUEL CONFISCO NÃO AGUENTAMOS MAIS…
325,Thu Sep 01 00:00:00 +0000 2022,"Experts Make Prediction on Summer Gas Prices , FIND OUT ! #MAGA #TrumpWasRight #Trump2024 #MAGA #TRUMP2024… https://t.co/tFc1u3DnGs"
630,Thu Sep 01 00:00:05 +0000 2022,RT @eumatue3O: Único reverse que eu queria é do dinheiro que gastei atoa
727,Thu Sep 01 00:00:07 +0000 2022,"Samsung Galaxy Watch -  Reloj Inteligente,  Blueto -48% pasa de 265.89 € a 137.56 € y te ahorras 128.33 € #samsung… https://t.co/dgASGnLodJ"
785,Thu Sep 01 00:00:09 +0000 2022,RT @_biamendesv: tugas a falar brasileiro irritam bué
975,Thu Sep 01 00:00:13 +0000 2022,FT. @ockClyi @JadonParas2 @CurtySZN @ytRoahs @BlGASH @Tigerbtws @Mercfn_ @1ckylol
1018,Thu Sep 01 00:00:14 +0000 2022,RT @AnahyDeVargas14: insanlar Bazen #bornova  olduklarını degilsadece kabullendikleri karşıdaki icin özür kabahatli #karşıyaka sussun diler…
1814,Thu Sep 01 00:00:32 +0000 2022,Sexy Maxi Dresses for Women Summer Sleeveless V Neck Sun Dresses Fashion Peacock Feathers Print Beach Dresses [GASH… https://t.co/VyXC00b4NE
2287,Thu Sep 01 00:00:44 +0000 2022,"@simoneavila10 Linda foto: Micheque vigarista, vendedora de vagas no céu e Flor de Liz assassina."
